seed,strategy,amount,pre_loss,pre_acc,post_loss,post_acc,pre_sparsity,post_sparsity,pre_alpha_rho,post_alpha_rho,pre_rows_zero,pre_cols_zero,pre_isolated,post_rows_zero,post_cols_zero,post_isolated,runtime_s
0,l1_neuron,0.1,0.46167195290327073,0.7896875,0.7239187702536583,0.77359375,0.015625,0.19287109375,3.3099608421325684,3.2704708576202393,0,0,0,6,6,6,5.25
1,l1_neuron,0.1,0.4109236843883991,0.806875,0.39859414666891096,0.8071875,0.015625,0.19287109375,2.0945370197296143,2.321134328842163,0,0,0,6,6,6,4.9
2,l1_neuron,0.1,0.4961835527420044,0.7740625,0.4168083494901657,0.80453125,0.015625,0.19287109375,2.7215025424957275,3.0646259784698486,0,0,0,6,6,6,5.03
3,l1_neuron,0.1,0.4250813999772072,0.81640625,0.40043465301394465,0.815625,0.015625,0.19287109375,2.022836446762085,2.6525866985321045,0,0,0,6,6,6,5.01
4,l1_neuron,0.1,0.5293479910492898,0.73734375,0.5295548912882805,0.7909375,0.015625,0.19287109375,3.240307331085205,3.5228824615478516,0,0,0,6,6,6,4.81
0,l1_neuron,0.2,0.46167195290327073,0.7896875,0.4996995088458061,0.7859375,0.015625,0.37744140625,3.3099608421325684,3.404008150100708,0,0,0,13,13,13,4.79
1,l1_neuron,0.2,0.4109236843883991,0.806875,0.38650709614157674,0.81140625,0.015625,0.37744140625,2.0945370197296143,2.1811020374298096,0,0,0,13,13,13,5.11
2,l1_neuron,0.2,0.4961835527420044,0.7740625,0.4007171693444252,0.815625,0.015625,0.37744140625,2.7215025424957275,2.8981070518493652,0,0,0,13,13,13,4.91
3,l1_neuron,0.2,0.4250813999772072,0.81640625,0.38752532228827474,0.81703125,0.015625,0.37744140625,2.022836446762085,2.3575234413146973,0,0,0,13,13,13,4.81
4,l1_neuron,0.2,0.5293479910492898,0.73734375,0.4134428897500038,0.80890625,0.015625,0.37744140625,3.240307331085205,3.476572275161743,0,0,0,13,13,13,4.87
0,l1_neuron,0.3,0.46167195290327073,0.7896875,0.5057682219147682,0.76953125,0.015625,0.5166015625,3.3099608421325684,3.3249363899230957,0,0,0,19,19,19,4.93
1,l1_neuron,0.3,0.4109236843883991,0.806875,0.40399812400341034,0.8090625,0.015625,0.5166015625,2.0945370197296143,2.1738526821136475,0,0,0,19,19,19,4.89
2,l1_neuron,0.3,0.4961835527420044,0.7740625,0.44955705404281615,0.790625,0.015625,0.5166015625,2.7215025424957275,3.0163941383361816,0,0,0,19,19,19,4.88
